============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: moderntcn | params=665,680
  epoch 7 batch 400/1139 loss=0.399132
  epoch 7 batch 450/1139 loss=0.397007
  epoch 7 batch 500/1139 loss=0.394630
  epoch 7 batch 550/1139 loss=0.394545
  epoch 7 batch 600/1139 loss=0.398816
  epoch 7 batch 650/1139 loss=0.398014
  epoch 7 batch 700/1139 loss=0.398587
  epoch 7 batch 750/1139 loss=0.396631
  epoch 7 batch 800/1139 loss=0.396330
  epoch 7 batch 850/1139 loss=0.397917
  epoch 7 batch 900/1139 loss=0.397672
  epoch 7 batch 950/1139 loss=0.398251
  epoch 7 batch 1000/1139 loss=0.397432
  epoch 7 batch 1050/1139 loss=0.399487
  epoch 7 batch 1100/1139 loss=0.398055
Epoch 7 | train_loss=0.397972 val_mse=0.587932 val_mae=0.396535 (13.9s)
  EarlyStopping: 6/10
  epoch 8 batch 50/1139 loss=0.379733
  epoch 8 batch 100/1139 loss=0.389147
  epoch 8 batch 150/1139 loss=0.392682
  epoch 8 batch 200/1139 loss=0.389801
  epoch 8 batch 250/1139 loss=0.383078
  epoch 8 batch 300/1139 loss=0.386733
  epoch 8 batch 350/1139 loss=0.388021
  epoch 8 batch 400/1139 loss=0.386260
  epoch 8 batch 450/1139 loss=0.386428
  epoch 8 batch 500/1139 loss=0.386852
  epoch 8 batch 550/1139 loss=0.387037
  epoch 8 batch 600/1139 loss=0.387580
  epoch 8 batch 650/1139 loss=0.387438
  epoch 8 batch 700/1139 loss=0.389644
  epoch 8 batch 750/1139 loss=0.389002
  epoch 8 batch 800/1139 loss=0.388142
  epoch 8 batch 850/1139 loss=0.388562
  epoch 8 batch 900/1139 loss=0.391406
  epoch 8 batch 950/1139 loss=0.391199
  epoch 8 batch 1000/1139 loss=0.392064
  epoch 8 batch 1050/1139 loss=0.391521
  epoch 8 batch 1100/1139 loss=0.390040
Epoch 8 | train_loss=0.390107 val_mse=0.581431 val_mae=0.392123 (13.2s)
  EarlyStopping: 7/10
  epoch 9 batch 50/1139 loss=0.367891
  epoch 9 batch 100/1139 loss=0.355905
  epoch 9 batch 150/1139 loss=0.386080
  epoch 9 batch 200/1139 loss=0.374151
  epoch 9 batch 250/1139 loss=0.377505
  epoch 9 batch 300/1139 loss=0.382133
  epoch 9 batch 350/1139 loss=0.384167
  epoch 9 batch 400/1139 loss=0.380981
  epoch 9 batch 450/1139 loss=0.380283
  epoch 9 batch 500/1139 loss=0.384228
  epoch 9 batch 550/1139 loss=0.383591
  epoch 9 batch 600/1139 loss=0.382478
  epoch 9 batch 650/1139 loss=0.387759
  epoch 9 batch 700/1139 loss=0.386986
  epoch 9 batch 750/1139 loss=0.385142
  epoch 9 batch 800/1139 loss=0.386500
  epoch 9 batch 850/1139 loss=0.386188
  epoch 9 batch 900/1139 loss=0.386394
  epoch 9 batch 950/1139 loss=0.385936
  epoch 9 batch 1000/1139 loss=0.385369
  epoch 9 batch 1050/1139 loss=0.384151
  epoch 9 batch 1100/1139 loss=0.382494
Epoch 9 | train_loss=0.383889 val_mse=0.591495 val_mae=0.397965 (14.4s)
  EarlyStopping: 8/10
  epoch 10 batch 50/1139 loss=0.364818
  epoch 10 batch 100/1139 loss=0.373035
  epoch 10 batch 150/1139 loss=0.386000
  epoch 10 batch 200/1139 loss=0.387316
  epoch 10 batch 250/1139 loss=0.381267
  epoch 10 batch 300/1139 loss=0.374782
  epoch 10 batch 350/1139 loss=0.378574
  epoch 10 batch 400/1139 loss=0.381479
  epoch 10 batch 450/1139 loss=0.379571
  epoch 10 batch 500/1139 loss=0.381189
  epoch 10 batch 550/1139 loss=0.377956
  epoch 10 batch 600/1139 loss=0.378451
  epoch 10 batch 650/1139 loss=0.377872
  epoch 10 batch 700/1139 loss=0.377409
  epoch 10 batch 750/1139 loss=0.377851
  epoch 10 batch 800/1139 loss=0.378819
  epoch 10 batch 850/1139 loss=0.379126
  epoch 10 batch 900/1139 loss=0.377851
  epoch 10 batch 950/1139 loss=0.377835
  epoch 10 batch 1000/1139 loss=0.377140
  epoch 10 batch 1050/1139 loss=0.376740
  epoch 10 batch 1100/1139 loss=0.377535
Epoch 10 | train_loss=0.378131 val_mse=0.590353 val_mae=0.396800 (13.8s)
  EarlyStopping: 9/10
  epoch 11 batch 50/1139 loss=0.360421
  epoch 11 batch 100/1139 loss=0.366195
  epoch 11 batch 150/1139 loss=0.372707
  epoch 11 batch 200/1139 loss=0.366158
  epoch 11 batch 250/1139 loss=0.364588
  epoch 11 batch 300/1139 loss=0.366396
  epoch 11 batch 350/1139 loss=0.370099
  epoch 11 batch 400/1139 loss=0.370590
  epoch 11 batch 450/1139 loss=0.370088
  epoch 11 batch 500/1139 loss=0.370363
  epoch 11 batch 550/1139 loss=0.372102
  epoch 11 batch 600/1139 loss=0.371025
  epoch 11 batch 650/1139 loss=0.370851
  epoch 11 batch 700/1139 loss=0.372920
  epoch 11 batch 750/1139 loss=0.370430
  epoch 11 batch 800/1139 loss=0.371283
  epoch 11 batch 850/1139 loss=0.370970
  epoch 11 batch 900/1139 loss=0.371002
  epoch 11 batch 950/1139 loss=0.372054
  epoch 11 batch 1000/1139 loss=0.372594
  epoch 11 batch 1050/1139 loss=0.372792
  epoch 11 batch 1100/1139 loss=0.374286
Epoch 11 | train_loss=0.374049 val_mse=0.589035 val_mae=0.396462 (13.5s)
  EarlyStopping: 10/10
Early stopping at epoch 11.

Test | mse=0.263160 mae=0.291133 rmse=0.512991
