============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36600 val=5079 test=10348
Built model: moderntcn | params=554,944
  epoch 10 batch 50/1143 loss=0.318883
  epoch 10 batch 100/1143 loss=0.309043
  epoch 10 batch 150/1143 loss=0.333406
  epoch 10 batch 200/1143 loss=0.333874
  epoch 10 batch 250/1143 loss=0.333100
  epoch 10 batch 300/1143 loss=0.332099
  epoch 10 batch 350/1143 loss=0.336035
  epoch 10 batch 400/1143 loss=0.334299
  epoch 10 batch 450/1143 loss=0.334167
  epoch 10 batch 500/1143 loss=0.340719
  epoch 10 batch 550/1143 loss=0.342690
  epoch 10 batch 600/1143 loss=0.341443
  epoch 10 batch 650/1143 loss=0.341055
  epoch 10 batch 700/1143 loss=0.345808
  epoch 10 batch 750/1143 loss=0.344777
  epoch 10 batch 800/1143 loss=0.342919
  epoch 10 batch 850/1143 loss=0.344799
  epoch 10 batch 900/1143 loss=0.345758
  epoch 10 batch 950/1143 loss=0.344759
  epoch 10 batch 1000/1143 loss=0.344806
  epoch 10 batch 1050/1143 loss=0.345123
  epoch 10 batch 1100/1143 loss=0.343729
Epoch 10 | train_loss=0.344365 val_mse=0.497841 val_mae=0.339401 (11.7s)
  EarlyStopping: 9/10
  epoch 11 batch 50/1143 loss=0.334905
  epoch 11 batch 100/1143 loss=0.337122
  epoch 11 batch 150/1143 loss=0.341110
  epoch 11 batch 200/1143 loss=0.347106
  epoch 11 batch 250/1143 loss=0.342087
  epoch 11 batch 300/1143 loss=0.338560
  epoch 11 batch 350/1143 loss=0.340801
  epoch 11 batch 400/1143 loss=0.341236
  epoch 11 batch 450/1143 loss=0.338876
  epoch 11 batch 500/1143 loss=0.338254
  epoch 11 batch 550/1143 loss=0.338983
  epoch 11 batch 600/1143 loss=0.339353
  epoch 11 batch 650/1143 loss=0.338438
  epoch 11 batch 700/1143 loss=0.336394
  epoch 11 batch 750/1143 loss=0.336414
  epoch 11 batch 800/1143 loss=0.336965
  epoch 11 batch 850/1143 loss=0.340325
  epoch 11 batch 900/1143 loss=0.341364
  epoch 11 batch 950/1143 loss=0.341303
  epoch 11 batch 1000/1143 loss=0.341487
  epoch 11 batch 1050/1143 loss=0.341274
  epoch 11 batch 1100/1143 loss=0.340260
Epoch 11 | train_loss=0.340359 val_mse=0.501955 val_mae=0.341089 (12.3s)
  EarlyStopping: 10/10
Early stopping at epoch 11.

Test | mse=0.207420 mae=0.250660 rmse=0.455434
