============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: timemixer
  type: mlp
  d_model: 16
  d_ff: 32
  e_layers: 2
  down_sampling_layers: 3
  down_sampling_window: 2
  down_sampling_method: avg
  decomp_method: moving_avg
  moving_avg: 25
  top_k: 5
  channel_independence: 1
  use_norm: 1
  dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 5
  learning_rate: 0.01
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36600 val=5079 test=10348
Built model: timemixer | params=93,129
  epoch 7 batch 450/1143 loss=0.470515
  epoch 7 batch 500/1143 loss=0.470489
  epoch 7 batch 550/1143 loss=0.473100
  epoch 7 batch 600/1143 loss=0.477177
  epoch 7 batch 650/1143 loss=0.477450
  epoch 7 batch 700/1143 loss=0.475027
  epoch 7 batch 750/1143 loss=0.471891
  epoch 7 batch 800/1143 loss=0.470836
  epoch 7 batch 850/1143 loss=0.472311
  epoch 7 batch 900/1143 loss=0.473496
  epoch 7 batch 950/1143 loss=0.471494
  epoch 7 batch 1000/1143 loss=0.471651
  epoch 7 batch 1050/1143 loss=0.471911
  epoch 7 batch 1100/1143 loss=0.471195
Epoch 7 | train_loss=0.470391 val_mse=0.464784 val_mae=0.316251 (20.7s)
  EarlyStopping: 1/5
  epoch 8 batch 50/1143 loss=0.466355
  epoch 8 batch 100/1143 loss=0.494860
  epoch 8 batch 150/1143 loss=0.485526
  epoch 8 batch 200/1143 loss=0.488336
  epoch 8 batch 250/1143 loss=0.485698
  epoch 8 batch 300/1143 loss=0.488320
  epoch 8 batch 350/1143 loss=0.482603
  epoch 8 batch 400/1143 loss=0.479711
  epoch 8 batch 450/1143 loss=0.480193
  epoch 8 batch 500/1143 loss=0.484078
  epoch 8 batch 550/1143 loss=0.479171
  epoch 8 batch 600/1143 loss=0.476786
  epoch 8 batch 650/1143 loss=0.477179
  epoch 8 batch 700/1143 loss=0.476965
  epoch 8 batch 750/1143 loss=0.475795
  epoch 8 batch 800/1143 loss=0.472556
  epoch 8 batch 850/1143 loss=0.472373
  epoch 8 batch 900/1143 loss=0.471657
  epoch 8 batch 950/1143 loss=0.472033
  epoch 8 batch 1000/1143 loss=0.467951
  epoch 8 batch 1050/1143 loss=0.468387
  epoch 8 batch 1100/1143 loss=0.467527
Epoch 8 | train_loss=0.466741 val_mse=0.470185 val_mae=0.321251 (21.0s)
  EarlyStopping: 2/5
  epoch 9 batch 50/1143 loss=0.429870
  epoch 9 batch 100/1143 loss=0.438640
  epoch 9 batch 150/1143 loss=0.435293
  epoch 9 batch 200/1143 loss=0.440931
  epoch 9 batch 250/1143 loss=0.452971
  epoch 9 batch 300/1143 loss=0.451718
  epoch 9 batch 350/1143 loss=0.448614
  epoch 9 batch 400/1143 loss=0.452374
  epoch 9 batch 450/1143 loss=0.460201
  epoch 9 batch 500/1143 loss=0.457207
  epoch 9 batch 550/1143 loss=0.455912
  epoch 9 batch 600/1143 loss=0.454166
  epoch 9 batch 650/1143 loss=0.458359
  epoch 9 batch 700/1143 loss=0.458074
  epoch 9 batch 750/1143 loss=0.458372
  epoch 9 batch 800/1143 loss=0.459396
  epoch 9 batch 850/1143 loss=0.458618
  epoch 9 batch 900/1143 loss=0.457517
  epoch 9 batch 950/1143 loss=0.456139
  epoch 9 batch 1000/1143 loss=0.456543
  epoch 9 batch 1050/1143 loss=0.458358
  epoch 9 batch 1100/1143 loss=0.458114
Epoch 9 | train_loss=0.462988 val_mse=0.472681 val_mae=0.323718 (20.8s)
  EarlyStopping: 3/5
  epoch 10 batch 50/1143 loss=0.427573
  epoch 10 batch 100/1143 loss=0.452655
  epoch 10 batch 150/1143 loss=0.454752
  epoch 10 batch 200/1143 loss=0.463074
  epoch 10 batch 250/1143 loss=0.475356
  epoch 10 batch 300/1143 loss=0.474460
  epoch 10 batch 350/1143 loss=0.477074
  epoch 10 batch 400/1143 loss=0.476719
  epoch 10 batch 450/1143 loss=0.473364
  epoch 10 batch 500/1143 loss=0.474057
  epoch 10 batch 550/1143 loss=0.474738
  epoch 10 batch 600/1143 loss=0.470954
  epoch 10 batch 650/1143 loss=0.469041
  epoch 10 batch 700/1143 loss=0.465505
  epoch 10 batch 750/1143 loss=0.465736
  epoch 10 batch 800/1143 loss=0.463812
  epoch 10 batch 850/1143 loss=0.462898
  epoch 10 batch 900/1143 loss=0.460411
  epoch 10 batch 950/1143 loss=0.461397
  epoch 10 batch 1000/1143 loss=0.461521
  epoch 10 batch 1050/1143 loss=0.461816
  epoch 10 batch 1100/1143 loss=0.460334
Epoch 10 | train_loss=0.460878 val_mse=0.471579 val_mae=0.323428 (20.6s)
  EarlyStopping: 4/5

Test | mse=0.207014 mae=0.249441 rmse=0.454988
